CT001|KHT001|10/12/2025|500000|1000000|300000
CT002|KHT001|11/12/2025|500000|1000000|200000
CT003|KHT001|12/12/2025|600000|1000000|250000
CT004|KHT002|20/01/2026|1000000|2000000|500000
CT005|KHT002|21/01/2026|1000000|2000000|400000
CT006|KHT002|22/01/2026|1100000|2000000|450000
CT007|KHT002|23/01/2026|1000000|2000000|500000
CT008|KHT002|24/01/2026|1200000|2000000|600000
CT009|KHT003|01/03/2026|600000|1200000|400000
CT010|KHT003|02/03/2026|700000|1200000|300000
CT011|KHT003|03/03/2026|600000|1200000|350000
CT012|KHT003|04/03/2026|700000|1200000|400000
CT013|KHT004|15/04/2026|1500000|3000000|1000000
CT014|KHT004|16/04/2026|1500000|3000000|1200000
CT015|KHT004|17/04/2026|1600000|3000000|1100000
CT016|KHT004|18/04/2026|1500000|3000000|1000000
CT017|KHT004|19/04/2026|1700000|3000000|1300000
CT018|KHT005|20/12/2025|500000|1000000|300000
CT019|KHT005|21/12/2025|550000|1000000|200000
CT020|KHT005|22/12/2025|500000|1000000|250000
CT021|KHT006|05/01/2026|700000|1500000|400000
CT022|KHT006|06/01/2026|700000|1500000|300000
CT023|KHT006|07/01/2026|800000|1500000|350000
CT024|KHT007|10/02/2026|500000|1000000|300000
CT025|KHT007|11/02/2026|500000|1000000|250000
CT026|KHT007|12/02/2026|600000|1000000|300000
CT027|KHT007|13/02/2026|500000|1000000|200000
CT028|KHT008|12/03/2026|400000|800000|200000
CT029|KHT008|13/03/2026|400000|800000|150000
CT030|KHT009|20/04/2026|1000000|2500000|800000
CT031|KHT009|21/04/2026|1100000|2500000|700000
CT032|KHT009|22/04/2026|1200000|2500000|800000
CT033|KHT009|23/04/2026|1000000|2500000|750000
CT034|KHT009|24/04/2026|1300000|2500000|850000
CT035|KHT010|01/05/2026|600000|1300000|350000
CT036|KHT010|02/05/2026|700000|1300000|300000
CT037|KHT010|03/05/2026|600000|1300000|350000
CT038|KHT010|04/05/2026|700000|1300000|400000
CT039|KHT011|10/06/2026|2000000|5000000|1500000
CT040|KHT011|11/06/2026|2000000|5000000|1400000
CT041|KHT011|12/06/2026|2100000|5000000|1500000
CT042|KHT011|13/06/2026|2200000|5000000|1600000
CT043|KHT011|14/06/2026|2000000|5000000|1500000
CT044|KHT011|15/06/2026|2300000|5000000|1700000
CT045|KHT011|16/06/2026|2000000|5000000|1500000
CT046|KHT012|05/01/2026|500000|1000000|300000
CT047|KHT012|06/01/2026|500000|1000000|200000
CT048|KHT012|07/01/2026|500000|1000000|250000
CT049|KHT013|05/02/2026|1000000|2000000|500000
CT050|KHT013|06/02/2026|1000000|2000000|400000
CT051|KHT013|07/02/2026|1100000|2000000|450000
CT052|KHT013|08/02/2026|1000000|2000000|500000
CT053|KHT013|09/02/2026|1200000|2000000|600000
CT054|KHT014|15/03/2026|700000|1200000|400000
CT055|KHT014|16/03/2026|600000|1200000|300000
CT056|KHT014|17/03/2026|700000|1200000|350000
CT057|KHT014|18/03/2026|600000|1200000|400000
CT058|KHT015|25/04/2026|1500000|3000000|1000000
CT059|KHT015|26/04/2026|1500000|3000000|1200000
CT060|KHT015|27/04/2026|1600000|3000000|1100000
CT061|KHT015|28/04/2026|1500000|3000000|1000000
CT062|KHT015|29/04/2026|1700000|3000000|1300000
CT063|KHT016|15/01/2026|700000|1500000|400000
CT064|KHT016|16/01/2026|700000|1500000|300000
CT065|KHT016|17/01/2026|800000|1500000|350000
CT066|KHT025|21/05/2026|700000|1300000|350000
